id best_lik post_prob assigned
coclNOTs_7018-21 Nottaway 1 yes
coclNOTs_7019-21 Roggan 1 yes
coclNOTs_7020-21 Nottaway 1 yes
coclNOTs_7021-21 Nottaway 1 yes
coclNOTs_7022-21 Nottaway 0.9 yes
coclNOTs_7023-21 La_Grande 0.4 no
coclNOTs_7024-21 Nottaway 1 yes
coclNOTs_7025-21 Nottaway 1 yes
coclNOTs_7026-21 Nottaway 1 yes
coclNOTs_7027-21 Nottaway 0.9 yes
coclNOTs_7031-21 Nottaway 0.9 yes
coclROGs_2154-21 Roggan 1 yes
coclRUPs_001-20 Rupert 1 yes
coclRUPs_004-20 Rupert 1 yes
coclRUPs_005-20 Rupert 1 yes
coclRUPs_006-20 Rupert 1 yes
coclRUPs_007-20 Rupert 1 yes
coclRUPs_008-20 Rupert 1 yes
coclRUPs_009-20 Rupert 1 yes
coclRUPs_013-20 Rupert 1 yes
coclRUPs_014-20 Rupert 1 yes
coclRUPs_020-20 Rupert 1 yes
coclRUPs_033-20 Rupert 1 yes
coclRUPs_034-20 Rupert 1 yes
coclRUPs_036-20 Nottaway 1 yes
coclRUPs_037-20 Nottaway 0.9 yes
coclRUPs_039-20 Rupert 1 yes
coclRUPs_040-20 Nottaway 0.9 yes
coclSABs_010-20 Sabacunica 1 yes
coclSABs_017-21 Sabacunica 1 yes
coclSABs_019-21 Sabacunica 1 yes
coclSABs_020-21 Sabacunica 1 yes
coclSABs_031-21 Sabacunica 1 yes
coclSABs_032-21 Sabacunica 1 yes
coclSABs_033-21 Sabacunica 1 yes
coclSABs_035-21 Sabacunica 1 yes
coclSABs_036-21 Sabacunica 0.9 yes
coclSABs_037-21 Sabacunica 1 yes
coclSABs_039-21 Sabacunica 1 yes
coclSABs_040-21 Sabacunica 1 yes
coclTILs_004-21 Eastmain 1 yes
coarBEAs_1953-21 Sabacunica 0.6 yes
coarBEAs_1955-21 Beaver 0.8 yes
coarBEAs_1957-21 Sabacunica 0.6 yes
coarBEAs_1958-21 Beaver 0.8 yes
coarBEAs_1960-21 Beaver 0.7 yes
coarBEAs_1961-21 Beaver 0.8 yes
coarBEAs_1962-21 Beaver 0.9 yes
coarBEAs_1965-21 Sabacunica 0.6 yes
coarBEAs_1967-21 Beaver 0.9 yes
coarBEAs_1968-21 Sabacunica 0.8 yes
coarBEAs_1969-21 Beaver 0.8 yes
coarBEAs_1970-21 Beaver 0.8 yes
coarBEAs_1971-21 Beaver 0.7 yes
coarBEAs_2026-21 Sabacunica 0.8 yes
coarBEAs_2027-21 Beaver 0.7 yes
coarBEAs_2028-21 Beaver 0.8 yes
coarBEAs_2029-21 Beaver 0.9 yes
coarBEAs_2030-21 Beaver 0.8 yes
coarBEAs_2031-21 Beaver 0.9 yes
coarBEAs_2035-21 Beaver 0.7 yes
coarBEAs_2038-21 Beaver 0.8 yes
coarBEAs_2040-21 Beaver 0.7 yes
coarBEAs_2041-21 Beaver 0.6 yes
coarBEAs_2044-21 Beaver 0.6 yes
coarBEAs_2045-21 Beaver 0.7 yes
coarBEAs_2047-21 Sabacunica 0.6 yes
coarBEAs_2048-21 Beaver 1 yes
coarLAGs_011-20 La_Grande 1 yes
coarLAGs_020-20 Roggan 1 yes
coclBEAs_2176-21 Beaver 0.6 yes
coclBEAs_2177-21 Beaver 0.8 yes
coclBEAs_2178-21 Sabacunica 1 yes
coclBEAs_2179-21 Beaver 0.7 yes
coclBEAs_2180-21 Beaver 0.9 yes
coclBEAs_2182-21 Beaver 0.7 yes
coclBEAs_2183-21 Beaver 0.9 yes
coclBEAs_2184-21 La_Grande 0.6 yes
coclBEAs_2185-21 Beaver 0.7 yes
coclBEAs_2186-21 Beaver 0.5 no
coclBEAs_2187-21 Beaver 0.8 yes
coclBEAs_2188-21 Beaver 0.9 yes
coclBEAs_2189-21 Beaver 1 yes
coclBEAs_2191-21 Beaver 1 yes
coclBEAs_2193-21 Beaver 0.9 yes
coclBEAs_2194-21 Beaver 0.4 no
coclBEAs_2195-21 Beaver 0.7 yes
coclBEAs_2196-21 Beaver 0.8 yes
coclBEAs_2197-21 Sabacunica 0.8 yes
coclBEAs_2198-21 Beaver 1 yes
coclBEAs_2200-21 Beaver 0.9 yes
coclBEAs_2252-21 Sabacunica 0.6 yes
coclBEAs_2253-21 Sabacunica 0.6 yes
coclBEAs_2255-21 Sabacunica 0.7 yes
coclBEAs_2256-21 Beaver 1 yes
coclBEAs_2259-21 Beaver 0.6 yes
coclBEAs_2260-21 Beaver 0.5 no
coclBEAs_2261-21 Sabacunica 0.8 yes
coclBEAs_2263-21 Beaver 0.9 yes
coclBEAs_2264-21 Beaver 0.8 yes
coclBEAs_2266-21 Beaver 1 yes
coclBEAs_2268-21 Beaver 0.8 yes
coclBEAs_2269-21 Beaver 0.6 yes
coclBEAs_2270-21 Beaver 0.9 yes
coclBEAs_2271-21 Beaver 1 yes
coclBEAs_2272-21 Sabacunica 0.6 yes
coclBEAs_2273-21 Beaver 0.8 yes
coclBEAs_2275-21 Sabacunica 1 yes
coclBIAs_2407-21 La_Grande 1 yes
coclBIAs_2414-21 La_Grande 1 yes
coclBIAs_2417-21 La_Grande 1 yes
coclBIAs_2419-21 La_Grande 1 yes
coclBIAs_2776-21 La_Grande 0.9 yes
coclBIAs_2777-21 La_Grande 1 yes
coclBIAs_2783-21 La_Grande 1 yes
coclBIAs_2789-21 La_Grande 1 yes
coclBIAs_2792-21 La_Grande 1 yes
coclBIAs_2796-21 La_Grande 1 yes
coclBIAs_2800-21 La_Grande 1 yes
coclCHIm_2228-21 Kaapsaoui 1 yes
coclCHIm_2611-21 Roggan 1 yes
coclCHIm_2620-21 Kaapsaoui 0.8 yes
coclCHIm_2622-21 Kaapsaoui 1 yes
coclCONs_599-21 Rupert 0.9 yes
coclCONs_600-21 Eastmain 1 yes
coclCONs_672-23 Eastmain 1 yes
coclCONs_676-21 Eastmain 1 yes
coclCONs_679-21 Eastmain 1 yes
coclCONs_680-21 Eastmain 1 yes
coclCONs_681-21 Rupert 0.9 yes
coclCONs_682-21 Eastmain 0.7 yes
coclCONs_684-21 Rupert 1 yes
coclEASm_002-20 Eastmain 1 yes
coclEASm_003-20 Rupert 1 yes
coclEASm_004-20 Rupert 1 yes
