id best_lik post_prob assigned
safoEASs_774-22 Conn 1 yes
safoEASs_775-22 Conn 1 yes
safoEASs_779-22 Conn 1 yes
safoEASs_780-22 Conn 1 yes
safoEASs_782-22 Conn 1 yes
safoEASs_783-22 Conn 1 yes
safoFISs_001-21 Eastmain 1 yes
safoFISs_002-21 Eastmain 0.8 yes
safoFISs_003-21 Conn 1 yes
safoFISs_004-21 Eastmain 0.9 yes
safoFISs_005-21 Conn 1 yes
safoFISs_030-22 Eastmain 1 yes
safoLAGs_001-20 La_Grande 1 yes
safoLAGs_003-20 La_Grande 1 yes
safoLAGs_004-20 La_Grande 1 yes
safoLAGs_005-20 La_Grande 1 yes
safoLAGs_006-20 La_Grande 1 yes
safoLAGs_007-20 La_Grande 1 yes
safoLAGs_008-20 Aquatuc 1 yes
safoLAGs_009-20 La_Grande 1 yes
safoLAGs_011-20 La_Grande 1 yes
safoLAGs_012-20 La_Grande 1 yes
safoLAGs_013-20 La_Grande 1 yes
safoLAGs_014-20 Aquatuc 1 yes
safoLAGs_015-20 La_Grande 1 yes
safoLAGs_016-20 La_Grande 1 yes
safoLAGs_017-20 La_Grande 1 yes
safoLAGs_018-20 La_Grande 1 yes
safoLAGs_019-20 La_Grande 1 yes
safoLAGs_2101-21 La_Grande 1 yes
safoLAGs_2102-21 La_Grande 1 yes
safoLAGs_2103-21 La_Grande 1 yes
safoLAGs_2104-21 La_Grande 1 yes
safoLAGs_2106-21 La_Grande 1 yes
safoLAGs_2107-21 La_Grande 1 yes
safoLAGs_2108-21 La_Grande 1 yes
safoLAGs_2109-21 La_Grande 1 yes
safoLAGs_2110-21 La_Grande 1 yes
safoLAGs_2111-21 La_Grande 0.6 no
safoLAGs_2112-21 La_Grande 1 yes
safoLAGs_2113-21 La_Grande 1 yes
safoLAGs_2856-22 Aquatuc 1 yes
safoLAGs_2857-22 Aquatuc 1 yes
safoLAGs_2859-22 Aquatuc 1 yes
safoLAGs_2865-22 Aquatuc 1 yes
safoMOAs_951-21 Sabacunica 1 yes
safoMOAs_952-21 Sabacunica 1 yes
safoMOAs_967-21 Sabacunica 1 yes
safoMOAs_981-21 Sabacunica 1 yes
safoMOAs_986-21 Sabacunica 1 yes
safoMOAs_992-21 Sabacunica 1 yes
safoMOAs_994-21 Renoyer 1 yes
safoRENs_001-20 Renoyer 1 yes
safoRENs_003-20 Renoyer 0.8 yes
safoRENs_005-20 Renoyer 1 yes
safoRENs_006-20 Renoyer 1 yes
safoRENs_007-20 Renoyer 1 yes
safoRENs_008-20 Renoyer 1 yes
safoRENs_009-20 Renoyer 1 yes
safoRENs_010-20 Renoyer 1 yes
safoRENs_011-20 Renoyer 1 yes
safoRENs_012-20 Renoyer 1 yes
safoRENs_013-20 Renoyer 1 yes
safoRENs_014-20 Renoyer 1 yes
safoRENs_015-20 Renoyer 1 yes
safoRENs_018-20 Renoyer 1 yes
safoRENs_020-20 Renoyer 0.9 yes
safoRENs_021-20 Renoyer 1 yes
safoRENs_025-20 Renoyer 1 yes
safoRENs_026-20 Renoyer 1 yes
safoRENs_027-20 Renoyer 1 yes
safoRENs_028-20 Renoyer 0.9 yes
safoRENs_029-20 Renoyer 1 yes
safoRENs_033-20 Renoyer 1 yes
safoRENs_034-20 Renoyer 1 yes
safoRENs_038-20 Eastmain 0.5 no
safoRENs_042-20 Renoyer 1 yes
safoROGs_2379-21 Kaapsaoui 1 yes
safoROGs_2380-21 Kaapsaoui 1 yes
safoROGs_2385-21 Kaapsaoui 1 yes
safoROGs_2391-21 Kaapsaoui 1 yes
safoSABs_003-20 Sabacunica 1 yes
safoSABs_004-20 Sabacunica 1 yes
safoSABs_005-20 Sabacunica 1 yes
safoSABs_006-20 Sabacunica 1 yes
safoSABs_007-20 Sabacunica 1 yes
safoSABs_008-20 Sabacunica 1 yes
safoSABs_009-20 Sabacunica 1 yes
safoSABs_011-20 Sabacunica 1 yes
safoSABs_012-20 Sabacunica 1 yes
safoSABs_016-21 Sabacunica 1 yes
safoSABs_018-21 Sabacunica 1 yes
safoSABs_019-21 Sabacunica 1 yes
safoSABs_020-21 Sabacunica 1 yes
safoSABs_022-21 Sabacunica 1 yes
safoSABs_023-21 Sabacunica 1 yes
safoSABs_026-21 Sabacunica 1 yes
safoSABs_027-21 Sabacunica 1 yes
safoSABs_028-21 Sabacunica 1 yes
safoSABs_029-21 Sabacunica 1 yes
safoWASm_3001-21 Broadback 1 yes
safoWASm_3004-21 Conn 0.9 yes
safoWASm_3005-21 Broadback 1 yes
safoWASm_3006-21 Broadback 1 yes
safoWASm_3007-21 Broadback 1 yes
safoWASm_3010-21 Eastmain 1 yes
safoWASm_3011-21 Broadback 1 yes
safoWASm_3014-21 Broadback 1 yes
safoWASm_3576-22 Eastmain 1 yes
safoWASm_3577-22 Eastmain 1 yes
safoWASm_3600-22 Broadback 1 yes
safoWASm_3601-22 Broadback 1 yes
safoWASm_3602-22 Broadback 1 yes
safoWASm_3605-22 Broadback 1 yes
safoAQUs_037-21 Aquatuc 1 yes
safoBEAs_010-21 Beaver 1 yes
safoBEAs_011-21 Beaver 1 yes
safoBEAs_014-21 Beaver 1 yes
safoBEAs_016-21 Aquatuc 0.9 yes
safoBEAs_022-21 Aquatuc 1 yes
safoBEAs_023-21 Beaver 1 yes
safoBEAs_024-21 Beaver 1 yes
safoBEAs_033-21 Beaver 1 yes
safoBEAs_034-21 Beaver 1 yes
safoBEAs_035-21 Beaver 1 yes
safoBEAs_036-21 Beaver 1 yes
safoBEAs_038-21 Aquatuc 1 yes
safoBEAs_040-21 Beaver 1 yes
safoBIAs_2462-21 Kaapsaoui 0.9 yes
safoBIAs_2464-21 Biagadwshi 0.9 yes
safoBIAs_2465-21 Biagadwshi 1 yes
safoBIAs_2467-21 Biagadwshi 1 yes
safoBIAs_2468-21 Biagadwshi 0.6 no
safoBIAs_2715-21 Biagadwshi 0.7 no
safoBIAs_2719-21 Aquatuc 0.5 no
safoBIAs_2720-21 Biagadwshi 0.9 yes
safoBIAs_2722-21 Biagadwshi 0.9 yes
safoBIAs_2724-21 Aquatuc 0.5 no
safoBROs_536-22 Eastmain 1 yes
safoBROs_537-22 Conn 0.8 yes
safoCHIm_2680-21 Aquatuc 0.5 no
safoCHIm_2682-21 Kaapsaoui 1 yes
safoCHIm_2685-21 Kaapsaoui 0.7 no
safoCHIm_2694-21 Kaapsaoui 1 yes
safoCONs_595-21 Conn 0.9 yes
safoCONs_596-21 Conn 0.9 yes
safoCONs_670-21 Renoyer 1 yes
safoEASs_629-21 Conn 0.8 yes
safoEASs_693-22 Conn 0.9 yes
safoEASs_694-22 Conn 1 yes
safoEASs_748-22 Conn 1 yes
safoEASs_781-22 Eastmain 1 yes
safoFISs_029-22 Conn 0.6 no
safoLAGs_002-20 Aquatuc 0.6 no
