"PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16" "PC17" "PC18" "PC19" "PC20" "id" "pop" "pop.y" "lat" "long" "cluster"
"1" -0.0983111630800024 0.31632624434845 0.00376990641877071 -0.1201320048002 0.0107283483450787 -0.0242761181635826 0.00784233724179827 -0.00912251816886896 0.0227653420535355 0.0130243463843004 -0.0148357255406534 -0.0171571320044074 0.0152626421011723 0.0553493259956109 0.0188308692388872 0.00835405061158158 0.0122293398243011 0.0396279233866155 -0.0508100260093906 0.0439416321825266 "/project/lbernatchez/users/ernor10/01_projects/raphael_bouchard/2023-04-06_wgs_sample_preparation_safo/09_no_overlap/NS.1834.002.N701---S502.safoBEAs_01-21_1.trimmed.sorted.bam.dedup.bam.no_overlap.bam" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"2" 0.143636159702303 0.00564996403277155 -0.0682857733474453 0.0581642383177223 0.0788331355163807 -0.0267892978651188 -0.0620903747752729 -0.147217741678852 0.00926577520524257 0.031044477541989 -0.037239058964093 0.0182808321055405 -0.00940648634440563 0.0693726350121632 0.086384107702124 0.0113568476896212 -0.0924435064361712 0.00937136459400691 -0.171541754091643 0.168685864981962 "/project/lbernatchez/users/ernor10/01_projects/raphael_bouchard/2023-04-06_wgs_sample_preparation_safo/09_no_overlap/NS.1834.002.N701---S507.safoRENs_017-20_1.trimmed.sorted.bam.dedup.bam.no_overlap.bam" "REN" "Renoyer" 52.4538 -78.514358 "REN"
"3" -0.0291123910422299 0.0710741794373405 -0.0156413942044389 0.194296302190509 -0.0717120853922716 0.0338044283521082 -0.0077969741163444 0.0584471876783541 -0.00642030399202163 0.00843288936551727 -0.0194220899390224 -0.00642249993962899 0.0117323458390858 -0.0066143297646775 -9.94326746281203e-08 0.0110823149253737 -0.0229117764988564 -0.0194319586791361 0.00361047293089605 -0.0366377272755077 "/project/lbernatchez/users/ernor10/01_projects/raphael_bouchard/2023-04-06_wgs_sample_preparation_safo/09_no_overlap/NS.1834.002.N701---S510.safoSABs_009-20_1.trimmed.sorted.bam.dedup.bam.no_overlap.bam" "SAB" "Sabacunica" 52.842839 -78.76795 "SAB"
"4" -0.11386320770491 0.329320443971025 -0.00792770815306695 -0.125972424747348 -0.00982643402650307 0.000233002245087786 0.0117221911068333 0.000301827612164068 0.00683009474490206 0.030606263710827 -0.0182860535072378 0.0126008583345375 0.0288822153000617 0.0442543738019057 -0.0287602962493933 -0.0260615489465916 -0.0305855908984513 0.0553015487565546 -0.0100604234965751 0.023894393277109 "/project/lbernatchez/users/ernor10/01_projects/raphael_bouchard/2023-04-06_wgs_sample_preparation_safo/09_no_overlap/NS.1834.002.N702---S502.safoBEAs_02-21_1.trimmed.sorted.bam.dedup.bam.no_overlap.bam" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"5" -0.102580103043338 0.34509450242538 -0.0138683282546564 -0.148617276898086 0.000668906598340343 -0.0189387951682191 0.00574282842675051 -0.0142715148826432 0.0090341349903503 -0.0273387258435254 -0.0218886772573471 0.00680090239330822 -0.00252192856244181 0.0156171167047277 -0.00876889479425089 0.00624505158682366 -0.00591065681748217 -0.0120165277680473 0.00555757830895954 0.00540307460618286 "/project/lbernatchez/users/ernor10/01_projects/raphael_bouchard/2023-04-06_wgs_sample_preparation_safo/09_no_overlap/NS.1834.002.N702---S503.safoBEAs_015-21_1.trimmed.sorted.bam.dedup.bam.no_overlap.bam" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"6" -0.093155042261606 0.287464326956788 7.13397272819828e-05 -0.104807378719579 -0.00461709295665719 -0.00274439056017953 -0.00511321246068175 -0.00605550624636532 -0.00204241929303617 0.0110752650045718 0.00679419538153657 0.011162189567 -0.00662726699531342 -0.00603630927617983 0.0231803000974893 -0.0384978425425824 -0.06977884062274 -0.0352018412440469 0.00349404283621556 -0.0512071780769092 "/project/lbernatchez/users/ernor10/01_projects/raphael_bouchard/2023-04-06_wgs_sample_preparation_safo/09_no_overlap/NS.1834.002.N702---S505.safoBEAs_027-21_1.trimmed.sorted.bam.dedup.bam.no_overlap.bam" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"7" 0.128803245707246 0.0180760180449521 -0.0693036599563602 0.0741733960618772 0.0475638602328929 -0.0175358332274692 -0.0385090935944189 -0.0852965548658316 0.0391988701861864 0.0261150750418504 -0.00855393083354832 0.0167390454917747 0.0244366739375337 -0.014615019944162 -0.0122694859510916 0.0248667976298528 -0.00172596629013241 0.0147977756556975 0.00206264640030935 -0.0310238442462572 "/project/lbernatchez/users/ernor10/01_projects/raphael_bouchard/2023-04-06_wgs_sample_preparation_safo/09_no_overlap/NS.1834.002.N702---S506.safoRENs_006-20_1.trimmed.sorted.bam.dedup.bam.no_overlap.bam" "REN" "Renoyer" 52.4538 -78.514358 "REN"
"8" 0.122513928654392 0.0337969302178954 -0.0754230420559913 0.0238186823589382 0.0648738842170629 -0.0137371544663676 -0.0333562799797232 -0.106947370002976 0.0341879588576311 0.00296124550037178 -0.0397287802742761 -0.031579590562231 -0.0103582566758566 0.00735099979322485 -0.0321338562367325 0.088933453623795 0.0726758806221293 0.039267018207899 -0.0327761257759251 0.103277275370624 "/project/lbernatchez/users/ernor10/01_projects/raphael_bouchard/2023-04-06_wgs_sample_preparation_safo/09_no_overlap/NS.1834.002.N702---S508.safoRENs_030-20_1.trimmed.sorted.bam.dedup.bam.no_overlap.bam" "REN" "Renoyer" 52.4538 -78.514358 "REN"
"9" -0.00644043852330349 0.0525011716575685 -0.0274876338022883 0.198310552933947 -0.0742123289696943 0.0219471584326118 -0.0181420176303105 0.0307334174611875 -0.00652808676977434 -0.0287580943326904 -0.0323444439274861 -0.014056758808959 0.00978579466580333 0.00573971784422548 -0.0098673554533755 -0.00708507847686805 -0.0053559663017091 0.00363183496653176 0.00102526432617414 -0.000816538924132817 "/project/lbernatchez/users/ernor10/01_projects/raphael_bouchard/2023-04-06_wgs_sample_preparation_safo/09_no_overlap/NS.1834.002.N702---S510.safoSABs_010-20_1.trimmed.sorted.bam.dedup.bam.no_overlap.bam" "SAB" "Sabacunica" 52.842839 -78.76795 "SAB"
"10" -0.109639978243302 0.353093694868729 0.00709277304500429 -0.156566982515854 0.0028478630817837 -0.0225051469760241 0.00370027333733349 -0.0104681114591678 -0.00224464259364084 -0.0350733229893802 -0.0261458856616506 -0.015220274637413 0.0105149335944354 0.0239312257173717 -0.02454233886395 -0.0115083640626451 0.0247177083070898 0.0105110816100955 -0.016692228607714 0.0244848439049482 "/project/lbernatchez/users/ernor10/01_projects/raphael_bouchard/2023-04-06_wgs_sample_preparation_safo/09_no_overlap/NS.1834.002.N703---S502.safoBEAs_03-21_1.trimmed.sorted.bam.dedup.bam.no_overlap.bam" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
