K10	10	37173365.104866
K10	1	37147151.264248
K10	2	37145972.276389
K10	3	37157746.128103
K10	4	37135422.276450
K10	5	37148853.675939
K10	6	37181092.842737
K10	7	37169259.978001
K10	8	37167306.027185
K10	9	37155597.387163
K1	10	39017397.885519
K11	10	37026706.787481
K11	1	37032924.685794
K11	2	37068115.939535
K11	3	37050022.321946
K11	4	37027413.600090
K11	5	37061426.142480
K11	6	37075844.394871
K11	7	37043502.572578
K11	8	37067109.480020
K11	9	37021327.961280
K1	1	39017397.885519
K1	2	39017397.885519
K1	3	39017397.885519
K1	4	39017397.885519
K1	5	39017397.885519
K1	6	39017397.885519
K1	7	39017397.885519
K1	8	39017397.885519
K1	9	39017397.885519
K2	10	38626209.474047
K2	1	38626209.545453
K2	2	38626209.523362
K2	3	38626209.543654
K2	4	38626209.460536
K2	5	38626209.596648
K2	6	38626209.463166
K2	7	38626209.642111
K2	8	38626209.561958
K2	9	38626209.523900
K3	10	38298552.113445
K3	1	38298552.419723
K3	2	38298552.463344
K3	3	38298552.351597
K3	4	38298552.382124
K3	5	38298551.780185
K3	6	38298552.247503
K3	7	38298551.983965
K3	8	38298552.505896
K3	9	38298552.115721
K4	10	38070128.415476
K4	1	38070128.722723
K4	2	38070128.712904
K4	3	38070128.232970
K4	4	38070128.550007
K4	5	38070128.743219
K4	6	38070128.829245
K4	7	38070132.367847
K4	8	38070128.502866
K4	9	38070140.595855
K5	10	37877533.932930
K5	1	37877534.228634
K5	2	37877533.992557
K5	3	37877534.237847
K5	4	37877534.041127
K5	5	37877534.163907
K5	6	37877534.570339
K5	7	37859351.059665
K5	8	37877534.027187
K5	9	37859351.588594
K6	10	37666816.790691
K6	1	37666816.878441
K6	2	37666817.022685
K6	3	37666816.903747
K6	4	37666817.683966
K6	5	37666817.155699
K6	6	37666816.998162
K6	7	37666816.792988
K6	8	37666816.864276
K6	9	37666816.515739
K7	10	37526537.653197
K7	1	37526722.550890
K7	2	37526612.134515
K7	3	37526650.814136
K7	4	37526602.365183
K7	5	37526652.036468
K7	6	37526611.515575
K7	7	37532687.374551
K7	8	37526708.071552
K7	9	37535431.362587
K8	10	37420118.480305
K8	1	37434123.904035
K8	2	37397719.140273
K8	3	37397731.984821
K8	4	37394883.326740
K8	5	37395470.710757
K8	6	37395436.631472
K8	7	37407480.156054
K8	8	37395403.945273
K8	9	37401525.713019
K9	10	37333974.766587
K9	1	37263845.898379
K9	2	37281345.698422
K9	3	37277539.194561
K9	4	37271711.087734
K9	5	37310470.820964
K9	6	37285376.605658
K9	7	37272974.316741
K9	8	37293103.476456
K9	9	37289375.228514
