pop	pop_code	lat	long
Kaapsaoui	KAA	54.535974 -79.551461
Roggan	ROG	54.406767	-79.507696 
La_Grande	LAG	53.821906 -79.078018
Beaver	BEA	53.385666 -79.014775
Sabacunica	SAB	52.811580 -78.870315
Eastmain	EAS	52.238498 -78.585954
Rupert	RUP	51.474206 -78.809795
Nottaway	NOT	51.412043 -78.925712

