"INDIVIDUALS"	"STRATA"
"63"	"coclFISs_023-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"64"	"coclFISs_024-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"65"	"coclFISs_025-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"66"	"coclFISs_026-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"67"	"coclFISs_027-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"68"	"coclFISs_028-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"69"	"coclFISs_029-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"70"	"coclFISs_030-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"71"	"coclFISs_031-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"72"	"coclFISs_033-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"73"	"coclFISs_035-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"74"	"coclFISs_037-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"75"	"coclFISs_040-21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"76"	"cocl_INUx_001_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"77"	"cocl_INUx_002_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"78"	"cocl_INUx_003_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"79"	"cocl_INUx_004_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"80"	"cocl_INUx_005_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"81"	"cocl_INUx_006_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"82"	"cocl_INUx_007_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"83"	"cocl_INUx_008_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"84"	"cocl_INUx_009_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"85"	"cocl_INUx_010_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"86"	"cocl_INUx_011_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"87"	"cocl_INUx_012_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"88"	"cocl_INUx_013_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"89"	"cocl_INUx_014_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"90"	"cocl_INUx_015_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"91"	"cocl_INUx_016_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"92"	"cocl_INUx_017_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"93"	"cocl_INUx_018_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"94"	"cocl_INUx_019_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"95"	"cocl_INUx_020_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"96"	"cocl_INUx_021_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"97"	"cocl_INUx_022_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"98"	"cocl_INUx_023_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"99"	"cocl_INUx_024_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"100"	"cocl_INUx_025_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"101"	"cocl_INUx_026_21_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"102"	"coclPUVx_01-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"103"	"coclPUVx_03-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"104"	"coclPUVx_04-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"105"	"coclPUVx_05-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"106"	"coclPUVx_06-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"107"	"coclPUVx_07-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
"108"	"coclPUVx_08-20_1.trimmed.sorted.bam.dedup.bam.no_overlap"	"WHA"
