coarBEAs_1951-21_1
coarBEAs_1963-21_1
coarBEAs_2037-21_1
coarBEAs_1952-21_1
coarBEAs_1964-21_1
coarBEAs_2026-21_1
coarBEAs_2038-21_1
coarBEAs_2027-21_1
coarBEAs_2040-21_1
coarBEAs_1955-21_1
coarBEAs_1967-21_1
coarBEAs_2029-21_1
coarBEAs_2041-21_1
coarBEAs_1956-21_1
coarBEAs_1968-21_1
coarBEAs_2030-21_1
coarBEAs_2042-21_1
coarBEAs_1969-21_1
coarBEAs_2031-21_1
coarBEAs_2043-21_1
coarBEAs_2044-21_1
coarBEAs_1959-21_1
coarBEAs_1971-21_1
coarBEAs_2033-21_1
coarBEAs_2045-21_1
coarBEAs_1960-21_1
coarBEAs_1972-21_1
coarBEAs_2034-21_1
coarBEAs_1961-21_1
coarBEAs_1973-21_1
coarBEAs_2035-21_1
coarBEAs_2047-21_1
coarBEAs_1962-21_1
coarBEAs_1974-21_1
coarBEAs_2036-21_1
coarBEAs_2048-21_1
coarBEAs_1975-21_1
coarBEAs_1953-21_1
coarBEAs_1965-21_1
coarBEAs_2039-21_1
coarBEAs_1966-21_1
coarBEAs_2028-21_1
coarBEAs_1957-21_1
coarBEAs_1958-21_1
coarBEAs_1970-21_1
coarBEAs_2032-21_1
coclBEAs_2176-21_1
coclBEAs_2188-21_1
coclBEAs_2200-21_1
coclBEAs_2257-21_1
coclBEAs_2177-21_1
coclBEAs_2189-21_1
coclBEAs_2269-21_1
coclBEAs_2258-21_1
coclBEAs_2178-21_1
coclBEAs_2190-21_1
coclBEAs_2270-21_1
coclBEAs_2259-21_1
coclBEAs_2179-21_1
coclBEAs_2191-21_1
coclBEAs_2271-21_1
coclBEAs_2260-21_1
coclBEAs_2180-21_1
coclBEAs_2192-21_1
coclBEAs_2272-21_1
coclBEAs_2261-21_1
coclBEAs_2181-21_1
coclBEAs_2193-21_1
coclBEAs_2273-21_1
coclBEAs_2262-21_1
coclBEAs_2182-21_1
coclBEAs_2194-21_1
coclBEAs_2274-21_1
coclBEAs_2251-21_1
coclBEAs_2263-21_1
coclBEAs_2183-21_1
coclBEAs_2195-21_1
coclBEAs_2275-21_1
coclBEAs_2252-21_1
coclBEAs_2264-21_1
coclBEAs_2184-21_1
coclBEAs_2196-21_1
coclBEAs_2253-21_1
coclBEAs_2265-21_1
coclBEAs_2185-21_1
coclBEAs_2197-21_1
coclBEAs_2254-21_1
coclBEAs_2266-21_1
coclBEAs_2186-21_1
coclBEAs_2198-21_1
coclBEAs_2255-21_1
coclBEAs_2267-21_1
coclBEAs_2187-21_1
coclBEAs_2199-21_1
coclBEAs_2256-21_1
coclBEAs_2268-21_1
coclBIAs_2783-21_1
coclBIAs_2795-21_1
coclBIAs_2419-21_1
coclBIAs_2784-21_1
coclBIAs_2796-21_1
coclBIAs_2421-21_1
coclBIAs_2786-21_1
coclBIAs_2798-21_1
coclBIAs_2787-21_1
coclBIAs_2799-21_1
coclBIAs_2788-21_1
coclBIAs_2800-21_1
coclBIAs_2424-21_1
coclBIAs_2789-21_1
coclBIAs_2425-21_1
coclBIAs_2790-21_1
coclBIAs_2791-21_1
coclBIAs_2777-21_1
coclBIAs_2792-21_1
