k10	10	164732083.018607
k10	1	164676345.189149
k10	2	164752515.606095
k10	3	164734739.049312
k10	4	164660541.669522
k10	5	164730589.849963
k10	6	164663242.526273
k10	7	164790894.974956
k10	8	164752374.449267
k10	9	164738315.565825
k1	10	170629778.848272
k11	10	164377848.467469
k11	1	164451936.981892
k11	2	164460599.887079
k11	3	164481595.347044
k11	4	164378139.102942
k11	5	164510433.182967
k11	6	164442856.878123
k11	7	164502462.937220
k11	8	164379596.823940
k11	9	164509499.029122
k1	1	170629778.848273
k12	10	164180023.129489
k12	1	164218475.695313
k12	2	164148695.882007
k12	3	164182618.678926
k12	4	164102670.723060
k12	5	164170082.225377
k12	6	164210894.470445
k12	7	164093104.898316
k12	8	164145060.627195
k12	9	164098919.760485
k1	2	170629778.848271
k13	10	163880110.301382
k13	1	163823279.309145
k13	2	163838070.891558
k13	3	163838371.547042
k13	4	163804627.857413
k13	5	163817147.416584
k13	6	163838196.358269
k13	7	163787935.381593
k13	8	163867643.908909
k13	9	163813615.396801
k1	3	170629778.848270
k1	4	170629778.848272
k1	5	170629778.848272
k1	6	170629778.848275
k1	7	170629778.848271
k1	8	170629778.848272
k1	9	170629778.848275
k2	10	168268771.385558
k2	1	168268772.139395
k2	2	168268771.944191
k2	3	168268771.610505
k2	4	168268771.682089
k2	5	168268772.159305
k2	6	168268771.947345
k2	7	168268771.944300
k2	8	168268771.721062
k2	9	168268771.777688
k3	10	167518359.208212
k3	1	167518359.091546
k3	2	167518359.078628
k3	3	167518360.801262
k3	4	167518360.123164
k3	5	167518362.221807
k3	6	167518360.217156
k3	7	167518359.330054
k3	8	167518359.101645
k3	9	167518359.206018
k4	10	166905045.202577
k4	1	166905044.610709
k4	2	166905048.595730
k4	3	166905044.962850
k4	4	166905044.936665
k4	5	166905044.358030
k4	6	166905045.429368
k4	7	166905044.778718
k4	8	166905044.869037
k4	9	166905062.030366
k5	10	166453892.818523
k5	1	166453887.258999
k5	2	166453886.853326
k5	3	166453888.685343
k5	4	166453886.841314
k5	5	166453886.527185
k5	6	166453888.092900
k5	7	166453891.608442
k5	8	166453887.125400
k5	9	166453885.035130
k6	10	166120894.948557
k6	1	166064599.399516
k6	2	166048000.172401
k6	3	166047927.979266
k6	4	166088673.331054
k6	5	166120762.780665
k6	6	166120772.687358
k6	7	166048130.068980
k6	8	166090290.684090
k6	9	166047946.901737
k7	10	165715481.383383
k7	1	165715498.147559
k7	2	165715651.698772
k7	3	165703329.779381
k7	4	165715500.876700
k7	5	165715492.893298
k7	6	165715499.024781
k7	7	165715495.894869
k7	8	165694562.383741
k7	9	165767984.070960
k8	10	165383283.205017
k8	1	165365667.921247
k8	2	165353387.708313
k8	3	165373566.092768
k8	4	165339584.235598
k8	5	165383178.194137
k8	6	165367562.977403
k8	7	165364098.601842
k8	8	165353555.998038
k8	9	165394256.118211
k9	10	165026157.292794
k9	1	165017830.515340
k9	2	165080861.884398
k9	3	165037637.720259
k9	4	165084142.919793
k9	5	165081770.111950
k9	6	165027833.444029
k9	7	165019668.006303
k9	8	165017789.465294
k9	9	165017968.755155
