logW E.logW gap SE.sim
3.29024857033111 3.3409194055127 0.0506708351815881 0.0154154578413531
2.80203223878783 2.98469671073005 0.182664471942212 0.0156224418531493
2.34738071210808 2.81332922566107 0.465948513552996 0.0215269316311827
2.02377312344551 2.6464919383006 0.622718814855097 0.025433926513264
1.59870475766358 2.51142510134038 0.912720343676801 0.0173721702261258
1.4703235986617 2.40710218535403 0.936778586692335 0.0201836354842703
1.32501303325493 2.3335179667373 1.00850493348237 0.0180730452730448
1.16533346618165 2.26250811651201 1.09717465033036 0.0171116911244976
1.10952642582156 2.19561822837491 1.08609180255335 0.0164995329151684
1.04447644110132 2.13391816556362 1.08944172446229 0.015063229395033
0.975746089963564 2.0778849082014 1.10213881823783 0.015439436986098
0.924426297261022 2.02920449577288 1.10477819851186 0.0152629526544447
0.874025508355092 1.98399794186513 1.10997243351004 0.0150693898547216
