logW E.logW gap SE.sim
3.38468854243869 3.81821248427748 0.433523941838791 0.0110203702362476
3.15381840730109 3.69534565611523 0.541527248814139 0.0208246573932866
2.93984766038577 3.63983423957169 0.699986579185924 0.0141312891350261
2.73167852658409 3.59267746904399 0.860998942459902 0.0136380692846808
2.50372754039809 3.55373507346061 1.05000753306251 0.0130231706489725
2.33140639084354 3.51919655044896 1.18779015960542 0.0123735482156286
2.22517731841773 3.48881256063715 1.26363524221943 0.0122047365389461
2.06840154163604 3.46088647391442 1.39248493227838 0.0120793434923822
1.93618935302487 3.43542351788621 1.49923416486134 0.0122968007949097
1.83099947778516 3.41197658697927 1.5809771091941 0.0122239602824076
1.7721361513397 3.39030028425148 1.61816413291178 0.0122866735515664
1.73285680686674 3.36991288537489 1.63705607850815 0.012110502202326
1.68695095105358 3.3502543114315 1.66330336037792 0.01224106900525
1.64055501671254 3.33176611153535 1.6912110948228 0.0121572382162649
