10	10	-77527823.368308
10	1	-77500671.712681
10	2	-77524023.270661
10	3	-77527136.987681
10	4	-77537171.793612
10	5	-77514739.249458
10	6	-77531149.772307
10	7	-77522304.271074
10	8	-77599103.365777
10	9	-77507993.200901
1	10	-80022625.904313
11	10	-77378123.242393
11	1	-77389854.736233
11	2	-77375076.569996
11	3	-77425795.464228
11	4	-77354462.281358
11	5	-77378075.960431
11	6	-77395658.857754
11	7	-77384699.081031
11	8	-77375064.660568
11	9	-77387087.160712
1	1	-80022625.904313
12	10	-77246049.417124
12	1	-77261816.587043
12	2	-77244643.013305
12	3	-77247747.312519
12	4	-77254434.598263
12	5	-77228536.872378
12	6	-77259588.348180
12	7	-77253816.754036
12	8	-77268593.850063
12	9	-77257634.514842
1	2	-80022625.904313
13	10	-77136008.932786
13	1	-77130597.395947
13	2	-77114090.972225
13	3	-77115350.932143
13	4	-77102741.437325
13	5	-77113195.236070
13	6	-77124810.000109
13	7	-77093256.703572
13	8	-77115030.999941
13	9	-77099535.977146
1	3	-80022625.904313
14	10	-76959275.938096
14	1	-76981753.187753
14	2	-76977482.197118
14	3	-76980423.935298
14	4	-76992918.307433
14	5	-76991554.009660
14	6	-76995646.003261
14	7	-76943083.300293
14	8	-76965819.118311
14	9	-77000368.466679
1	4	-80022625.904312
1	5	-80022625.904312
1	6	-80022625.904312
1	7	-80022625.904313
1	8	-80022625.904312
1	9	-80022625.904313
2	10	-79092843.415732
2	1	-79092843.234954
2	2	-79092843.107799
2	3	-79092843.591277
2	4	-79092843.588579
2	5	-79092843.647778
2	6	-79092843.311290
2	7	-79092843.444217
2	8	-79092843.584404
2	9	-79092843.491422
3	10	-78798445.327664
3	1	-78798445.356282
3	2	-78798444.978268
3	3	-78798445.457148
3	4	-78798446.342296
3	5	-78798445.554658
3	6	-78798445.939324
3	7	-78798445.408174
3	8	-78798445.010945
3	9	-78798445.473717
4	10	-78538968.594268
4	1	-78538968.868806
4	2	-78538968.291915
4	3	-78538967.858263
4	4	-78538968.990118
4	5	-78538968.264333
4	6	-78538972.383929
4	7	-78538977.255488
4	8	-78538970.283503
4	9	-78538967.842855
5	10	-78320417.046640
5	1	-78320376.459977
5	2	-78334142.535964
5	3	-78320338.624191
5	4	-78334147.981879
5	5	-78320375.495999
5	6	-78320342.622446
5	7	-78334152.042888
5	8	-78320381.182218
5	9	-78320340.556871
6	10	-78115821.445803
6	1	-78115819.725919
6	2	-78177694.049769
6	3	-78183657.280161
6	4	-78156849.851423
6	5	-78166228.369324
6	6	-78166532.413218
6	7	-78165563.654542
6	8	-78115819.504944
6	9	-78115858.263054
7	10	-77974618.858479
7	1	-77983386.492338
7	2	-77954744.995919
7	3	-78002242.834796
7	4	-77972262.839524
7	5	-78034383.074960
7	6	-77978422.545648
7	7	-78029001.019875
7	8	-77959368.572123
7	9	-77969865.173348
8	10	-77841426.475634
8	1	-77795389.568993
8	2	-77803944.357600
8	3	-77819941.399404
8	4	-77833492.686255
8	5	-77890893.579135
8	6	-77807103.273606
8	7	-77835188.823648
8	8	-77818159.336005
8	9	-77815529.677202
9	10	-77661600.665908
9	1	-77653531.872212
9	2	-77676094.519988
9	3	-77672789.672301
9	4	-77666245.520865
9	5	-77675632.299312
9	6	-77674991.421191
9	7	-77674334.352447
9	8	-77684292.345211
9	9	-77682328.750120
