NS.1716.002.N701---S502.coarBEAs_1951-21
NS.1716.002.N701---S505.coarBEAs_1963-21
NS.1716.002.N701---S506.coarBEAs_2037-21
NS.1716.002.N702---S502.coarBEAs_1952-21
NS.1716.002.N702---S503.coarBEAs_1964-21
NS.1716.002.N702---S505.coarBEAs_2026-21
NS.1716.002.N702---S506.coarBEAs_2038-21
NS.1716.002.N703---S505.coarBEAs_2027-21
NS.1716.002.N704---S506.coarBEAs_2040-21
NS.1716.002.N705---S502.coarBEAs_1955-21
NS.1716.002.N705---S503.coarBEAs_1967-21
NS.1716.002.N705---S505.coarBEAs_2029-21
NS.1716.002.N705---S506.coarBEAs_2041-21
NS.1716.002.N706---S502.coarBEAs_1956-21
NS.1716.002.N706---S503.coarBEAs_1968-21
NS.1716.002.N706---S505.coarBEAs_2030-21
NS.1716.002.N706---S506.coarBEAs_2042-21
NS.1716.002.N707---S503.coarBEAs_1969-21
NS.1716.002.N707---S505.coarBEAs_2031-21
NS.1716.002.N707---S506.coarBEAs_2043-21
NS.1716.002.N710---S506.coarBEAs_2044-21
NS.1716.002.N711---S502.coarBEAs_1959-21
NS.1716.002.N711---S503.coarBEAs_1971-21
NS.1716.002.N711---S505.coarBEAs_2033-21
NS.1716.002.N711---S506.coarBEAs_2045-21
NS.1716.002.N712---S502.coarBEAs_1960-21
NS.1716.002.N712---S503.coarBEAs_1972-21
NS.1716.002.N712---S505.coarBEAs_2034-21
NS.1716.002.N714---S502.coarBEAs_1961-21
NS.1716.002.N714---S503.coarBEAs_1973-21
NS.1716.002.N714---S505.coarBEAs_2035-21
NS.1716.002.N714---S506.coarBEAs_2047-21
NS.1716.002.N715---S502.coarBEAs_1962-21
NS.1716.002.N715---S503.coarBEAs_1974-21
NS.1716.002.N715---S505.coarBEAs_2036-21
NS.1716.002.N715---S506.coarBEAs_2048-21
NS.1716.002.N716---S502.coarBEAs_1975-21
NS.1716.002.N716---S503.coarBEAs_1953-21
NS.1716.002.N716---S505.coarBEAs_1965-21
NS.1716.002.N716---S506.coarBEAs_2039-21
NS.1716.002.N716---S508.coarBEAs_1966-21
NS.1716.002.N716---S510.coarBEAs_2028-21
NS.1716.002.N718---S502.coarBEAs_1957-21
NS.1716.002.N718---S503.coarBEAs_1958-21
NS.1716.002.N718---S505.coarBEAs_1970-21
NS.1716.002.N718---S506.coarBEAs_2032-21
