"PC1" "PC2" "clus" "pop_clus" "pop" "lat" "long" "origin"
"52" -0.0393802541498172 -0.116614998263671 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"53" -0.00125617789991905 -0.109002468868651 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"54" -0.0136313898393432 -0.113992539907562 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"55" 0.0464674560384077 -0.113808379915875 "2" "SAB" "Sabacunica" 52.842839 -78.76795 "BEA"
"56" -0.0093315733625832 -0.0840873086917091 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"57" -0.148497955258487 -0.0757969490949336 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BEA"
"58" 0.0198388419437797 -0.108382508139241 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"59" -0.00499549129924331 -0.113484731237999 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"60" -0.0343601447699778 -0.0802589366359544 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"61" -0.0117323482827353 -0.0999278379375194 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"62" 0.0208509680333029 -0.122874414308832 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"63" -0.00811024981430355 -0.118990998183491 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"64" -0.0235101747437398 -0.116406907016833 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"65" 0.0177498495723108 -0.107600589915233 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"66" 0.0176347957197593 -0.119778500181292 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"67" 0.0392440431546138 -0.118340315027796 "2" "SAB" "Sabacunica" 52.842839 -78.76795 "BEA"
"68" -0.00607272429669324 -0.106221881309449 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"69" -0.0099082447984827 -0.113600861915533 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"70" 0.00397357026393795 -0.114995289955843 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"71" -0.00221504757171654 -0.108481186382372 "1" "BEA" "Beaver" 53.385666 -79.014775 "BEA"
"72" -0.119481439041685 -0.0588697405975799 "3" "LAG" "La_Grande" 53.821906 -79.078018 "BEA"
"73" 0.0519386352598072 -0.109727459262135 "2" "SAB" "Sabacunica" 52.842839 -78.76795 "BEA"
"74" 0.048192119260909 -0.113395454271412 "2" "SAB" "Sabacunica" 52.842839 -78.76795 "BEA"
