logW E.logW gap SE.sim k
3.34091315179439 3.35697792715386 0.0160647753594674 0.0137031864762373 1
2.79897948201791 3.01302547649185 0.214045994473939 0.015467161299768 2
2.38429510376282 2.83157182048192 0.447276716719109 0.0179584094084964 3
2.00304834827511 2.661499939958 0.658451591682882 0.0248588242053022 4
1.49023440865989 2.53200600141932 1.04177159275943 0.0160747683471782 5
1.3519458748137 2.42841881123489 1.07647293642119 0.0209804467028323 6
1.20159563271981 2.3541227158837 1.15252708316389 0.0196065530242283 7
1.12551984136773 2.28327929545031 1.15775945408258 0.0154638770751187 8
1.06296250836129 2.21743927694159 1.15447676858029 0.0166777417183292 9
1.01651232958022 2.15658118795326 1.14006885837305 0.0155469294876014 10
0.976089132639101 2.09885644353051 1.12276731089141 0.015241984932605 11
0.920592477260853 2.05134134061409 1.13074886335324 0.0150782600452002 12
0.877514703884509 2.0069484182918 1.12943371440729 0.0149739532765942 13
