coarBEAs_1965-21,BEA
coarBEAs_2039-21,BEA
coarBEAs_1966-21,BEA
coarBEAs_2028-21,BEA
coarBEAs_1957-21,BEA
coarBEAs_1958-21,BEA
coarBEAs_1970-21,BEA
coarBEAs_2032-21,BEA
coclBEAs_2176-21,BEA
coclBEAs_2188-21,BEA
coclBEAs_2200-21,BEA
coclBEAs_2177-21,BEA
coclBEAs_2189-21,BEA
coclBEAs_2269-21,BEA
coclBEAs_2258-21,BEA
coclBEAs_2190-21,BEA
coclBEAs_2259-21,BEA
coclBEAs_2179-21,BEA
coclBEAs_2191-21,BEA
coclBEAs_2271-21,BEA
coclBEAs_2260-21,BEA
coclBEAs_2180-21,BEA
coclBEAs_2192-21,BEA
coclBEAs_2272-21,BEA
coclBEAs_2261-21,BEA
coclBEAs_2193-21,BEA
coclBEAs_2273-21,BEA
coclBEAs_2262-21,BEA
coclBEAs_2182-21,BEA
coclBEAs_2263-21,BEA
coclBEAs_2183-21,BEA
coclBEAs_2195-21,BEA
coclBEAs_2252-21,BEA
coclBEAs_2264-21,BEA
coclBEAs_2196-21,BEA
coclBEAs_2253-21,BEA
coclBEAs_2265-21,BEA
coclBEAs_2185-21,BEA
coclBEAs_2197-21,BEA
coclBEAs_2266-21,BEA
coclBEAs_2186-21,BEA
coclBEAs_2198-21,BEA
coclBEAs_2255-21,BEA
coclBEAs_2187-21,BEA
coclBEAs_2256-21,BEA
coclBEAs_2268-21,BEA
coclBIAs_2776-21,BEA
coclEASm_014-20,BEA
coclSABs_003-20,BEA
coclLAGs_2871-22,BEA
coarBEAs_2037-21,SAB
coarBEAs_1952-21,SAB
coarBEAs_2026-21,SAB
coarBEAs_1956-21,SAB
coclBEAs_2257-21,SAB
coclBEAs_2178-21,SAB
coclBEAs_2181-21,SAB
coclBEAs_2274-21,SAB
coclBEAs_2251-21,SAB
coclBEAs_2275-21,SAB
coclBEAs_2254-21,SAB
coclBEAs_2267-21,SAB
coclBEAs_2199-21,SAB
coclSABs_006-20,SAB
coclSABs_040-21,SAB
coclSABs_020-21,SAB
coclSABs_007-20,SAB
coclSABs_029-21,SAB
